name_hp,mb_2008,mb_2009,parent_key,key,setofmb_hp,id,idext,region,zone,woreda,wname,
Baja gemecho,0,0,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP[13],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Eddo,0,0,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP[3],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Baja fabrica,0,0,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP[4],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Wotera kechema,2,1,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP[7],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Kela 01,0,0,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP[16],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Abaye,0,0,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP[8],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Chuko rural,0,0,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP[6],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Gike atoye,0,0,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP[11],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Anno,0,0,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP[10],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Wosha soyama,2,5,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP[9],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Chuko town,0,6,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP[5],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Yuwo,0,0,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP[2],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Babo chorora,0,0,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP[12],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Gike gina,0,0,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP[14],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Wotera gendo,0,0,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP[15],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Aruma,1,4,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HP,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,